EASY,DIFF_LONG_WORD,DIFF_PHONOLOGICAL
a,abandon,abbreviation
aa,abandoned,abolition
aal,abatement,abortion
aam,abdomen,abscissa
aback,abdominal,absenteeism
abbas,abetment,absorption
abed,abiding,abstraction
abide,ability,acceleration
able,abiotic,accommodation
abode,abjure,accumulation
about,aboard,accusation
above,abolish,ache
abu,abound,achievable
abuse,abrasive,achieve
abuzz,abreast,achievement
ace,abroad,aching
acid,abrupt,acknowledge
acne,abruptly,acknowledged
acre,absence,acquaint
act,absent,acquaintance
actor,absentee,acquainted
acute,absolute,acquisition
ad,absolutely,action
adapt,absorb,adaptation
add,absorbed,addiction
added,absorbent,addition
ade,absorber,additional
adept,absorbing,additionally
admit,absorptive,administration
adobe,abstract,admiration
adopt,absurd,admission
adorn,abundance,adolescence
adult,abundant,adolescent
ae,abundantly,adoption
aegis,abusive,adoration
afar,academic,adulteration
after,academy,advantageous
again,accelerate,aeration
agar,accelerated,aerenchyma
age,accent,affection
aged,accept,affectionate
agent,acceptable,affectionately
agile,acceptance,afforestation
ago,accepted,aggregation
agone,access,aggression
agree,accessibility,agitation
ah,accessible,agreeable
aha,accessory,agreeing
ahead,accident,airtight
ai,accidental,alight
aid,accidentally,alignment
ail,accidently,alliteration
aim,acclaim,allocation
air,accolade,almighty
airy,accommodate,alpha
aisle,accompaniment,alphabet
ak,accompany,alphabetical
aka,accomplish,alright
ake,accomplished,alteration
akin,accomplishment,alternation
al,accordance,although
ala,according,ambiguous
alarm,accordingly,ambition
alas,accordion,ambitious
album,account,ammunition
alert,accountability,amphoteric
alga,accountable,anchor
algae,accountancy,animation
alien,accountant,annexation
align,accounting,anticipation
alike,accredited,anxious
alive,accumulate,anxiously
all,accuracy,anywhere
allot,accurate,aphid
allow,accurately,apostrophe
alloy,accuse,application
ally,accused,appreciation
alms,accustomed,approach
aloft,acetate,approaching
alone,acetic,approximation
along,acetone,aqueous
aloof,acidic,arch
aloud,acidity,archaeological
also,acquire,archaeologist
alter,acquired,archaeology
am,acrobatic,archaic
amala,acronym,archbishop
amar,across,arched
amass,acrostic,archer
amaze,acrylic,archery
amba,acting,arches
amber,activate,arching
ambo,active,archipelago
ame,actively,architect
amend,activist,architectural
amid,activity,architecture
amin,actual,archivist
amino,actually,arduous
amir,acuity,argue
amiss,acumen,arhar
amity,adamant,armchair
amla,adaptability,arrowhead
amma,adapter,ascend
amman,adaptive,ascending
ammu,addend,ascent
among,addicted,ascetic
ample,additive,asphalt
amply,address,aspiration
amra,addressee,assertion
amuse,adenosine,assigned
an,adequate,assignment
ana,adequately,assimilation
anal,adhesive,association
and,adipocyte,assumption
anda,adipose,asthenosphere
anew,adjacent,astrophysicist
angel,adjectival,astrophysics
anger,adjective,atmosphere
angle,adjoining,atmospheric
angry,adjunct,atrocious
ani,adjust,attach
anil,adjustable,attached
anion,adjustment,attachment
ankh,adjutant,attention
ankle,administer,attraction
ann,administrative,attribution
anna,administrator,augmentation
annex,admirable,auspicious
anode,admiral,auspiciousness
ant,admire,autobiographical
anta,admired,autobiography
anti,admirer,autograph
anus,admiring,autotrophic
any,admissible,autumn
apar,admitted,avalanche
apart,adopted,aviation
apple,adorable,awry
apply,adrenal,bach
apron,adrenaline,bache
apt,adulthood,bachelor
aptly,advance,batch
aqua,advanced,beach
ar,advancement,beau
arc,advancing,beautiful
are,advantage,beautifully
area,adventure,beautify
arena,adventurous,beauty
argon,adverb,behaviour
aria,adversary,bench
arid,adverse,benediction
arise,adversely,bibliophile
arjun,advertise,biochemical
arm,advertisement,biochemistry
armed,advertising,biographer
arms,advice,biographical
army,advisable,biography
aroma,advise,bioluminescence
arose,advised,bioluminescent
array,adviser,biosphere
arrow,advisor,bleach
art,advisory,bleaching
artha,advocate,bomb
as,aerator,bough
asana,aerial,bought
ash,aerobic,branch
ashes,aerogel,branched
aside,aeronautics,branching
ask,aeroplane,breach
asp,aerosol,breakthrough
ass,aesthetic,bright
asset,aesthetics,brighten
at,affair,brightening
ate,affect,brightly
atlas,affected,brightness
atom,affecting,brochure
atop,affinity,bronchi
atria,affirmative,bronchitis
atta,afflicted,brooch
atter,affluent,brotherhood
attic,afford,brought
audio,affordable,brunch
audit,affront,bullying
aunt,afloat,bunch
aural,afraid,bureau
auto,afresh,bureaucracy
auxin,afterlife,burying
ava,aftermath,butcher
avail,afternoon,calcareous
ave,afternoons,calcination
avoid,afterward,calculation
await,afterwards,calligrapher
awake,against,calligraphy
award,agarwal,camphor
aware,agency,canoeing
away,agenda,canoeist
awe,aggravate,capsicum
awful,aggregate,capsule
awl,aggregator,caption
awoke,aggressive,carnation
ax,aggrieved,carrying
axe,agility,cartographer
axes,agitator,cartographic
axiom,agrarian,cartography
axis,agreed,catalogue
axle,agreement,catastrophic
axon,agricultural,catch
ay,agriculturally,catching
aye,agriculture,catchment
b,agriculturist,catchy
ba,agronomic,catenation
baa,ahimsa,cation
baba,aiming,caught
babu,aimlessly,caution
babul,aircraft,cautious
baby,airfield,cautiously
bac,airplane,celebration
back,airport,cellophane
bad,alarmed,centrifugation
badge,alarming,certification
badly,alcohol,cha
bag,alcoholic,chaa
bail,aldehyde,chaff
bajra,alertness,chai
bake,alexanders,chain
baked,algebra,chair
baker,algebraic,chairman
bal,algebraically,chairmanship
bald,algorithm,chakra
ball,alimentary,chakravartin
balm,alkali,chalana
baloo,alkaline,chalk
balu,alkalinity,challenge
bam,alkane,challenger
ban,allegiance,cham
band,allergen,chamber
banda,allergy,chambered
bane,alliance,chameleon
banga,allied,champagne
bank,allies,champion
bar,alligator,chance
bara,allocate,chancellor
bare,allotment,chandu
bark,allotrope,change
barn,allotropic,channel
baron,allowable,channeled
bas,allowance,channelling
base,allure,chant
based,allurement,chanting
bases,alluvial,chaos
basic,alluvium,chaotic
basil,almirah,chap
basin,almond,chaplet
basis,almost,chapter
bass,alongside,char
bat,alpine,character
bath,already,characteristic
bathe,alternate,charcoal
batik,alternately,charge
bats,alternating,charging
batta,alternative,chariot
baul,alternatively,charismatic
bay,altitude,charitable
baya,altitudinal,charity
be,altogether,charkha
bead,alumina,charm
beak,aluminate,charming
beam,aluminium,chart
bean,aluminum,charter
bear,alveolar,chartered
beard,alveoli,chase
beast,alveolus,chaser
beat,always,chasing
bed,amalgam,chasse
bee,amaltas,chassis
been,amateur,chat
bees,amazed,chatter
beg,amazement,chatterbox
begar,amazing,chatting
begin,amazingly,chauffeur
begum,ambassador,chauth
begun,ambience,che
being,ambient,cheap
bel,ambiguity,cheat
bela,ambulance,cheating
bell,ambush,check
belly,amenable,checked
below,amendment,cheek
belt,amiable,cheer
ben,amicably,cheered
bend,amidst,cheerful
beni,ammeter,cheerfully
bent,ammonia,cheering
ber,ammonium,cheese
beray,amnesty,cheetah
berry,amoeba,chef
berth,amoebae,chemic
besan,amongst,chemical
best,amount,chemically
bet,ampere,chemist
beta,amplifier,chemistry
betel,amplify,chemotropism
betty,amplitude,chende
bhat,amrita,cheque
bhava,amused,cherish
bhut,amusedly,cherry
bias,amusement,chess
bid,amusing,chessboard
bidar,amylase,chest
big,anaemia,chestnut
bigha,anaerobic,chevron
bike,anagram,chew
bile,anagrams,chhatri
bill,analgesic,chi
bin,analogy,chic
bind,analyse,chick
bine,analyses,chicken
bing,analysis,chief
bingo,analytic,chiefly
biome,analytical,chiffon
bird,ananda,child
birth,anatase,childbirth
bis,anatomy,childhood
bison,ancestor,chile
bit,ancestral,chill
bite,ancestry,chilla
black,ancient,chillness
blade,anecdote,chilly
blair,anemometer,chimney
blame,anemone,chin
blanc,angled,china
bland,angrily,chinar
blank,angula,chink
blare,anhydrous,chinkara
blast,anicut,chinks
bleat,animal,chintz
bleed,animate,chip
blend,animated,chips
bless,animating,chirp
blind,animator,chirping
blink,anklet,chisel
bliss,annals,chit
blob,annexure,chitra
block,anniversary,chitter
blood,announce,chivalry
bloom,announcement,chlor
blot,annual,chlorenchyma
blow,annually,chloride
blown,anonymous,chlorine
blue,another,chloroform
blues,answer,chlorophyll
blunt,answerable,chloroplast
blur,antacid,chocolate
bo,antarctic,choice
boar,antarctica,choir
board,antelope,choke
boast,antennae,choking
boat,anthem,chola
bob,anther,cholera
bod,anthill,cholesterol
bodhi,anthology,choli
body,anthracite,chomp
bog,anthropological,chondrocyte
bogie,anthropologist,choose
boil,anthropology,choosing
bold,antibacterial,chop
bole,antibiotic,chopped
boll,anticipate,chopping
bolo,anticipatory,chord
bom,anticline,chore
bon,anticlockwise,choreograph
bond,antipathy,choreographer
bone,antiseptic,choreography
bong,antonym,chorus
bonus,anuloma,chose
bony,anxiety,chosen
boo,anybody,chousingha
book,anyone,chowk
boom,anything,christened
boon,anyway,chromatin
boost,apartheid,chrome
booth,apartment,chromium
boots,apathy,chromosome
bop,aperture,chronic
borax,apiary,chronically
bore,apical,chronicle
born,apologetically,chronological
borne,apology,chronologically
boro,apostle,chrysanthemum
boron,appalling,chuck
bose,apparatus,chunk
bosom,apparent,church
boss,apparently,churn
both,appeal,churning
bound,appealing,chutney
bow,appear,cinquain
bowed,appearance,circulation
bowl,appendices,circumduction
bowls,appendix,citation
box,appetite,civilization
boy,applaud,civilizational
bra,applause,clarification
brain,appliance,classification
brake,applicable,climb
bran,applied,coach
brand,appoint,coaching
brass,appointment,coalition
brave,appraise,cockroach
bread,appreciable,cognisance
break,appreciate,cognitive
bred,apprehend,cohesion
breed,apprentice,collaboration
brew,apprenticeship,collapse
bribe,appropriate,colleague
brick,appropriately,collection
bride,appropriateness,collenchyma
brief,approval,collision
brim,approve,collocation
brin,approximate,colloquial
brine,approximately,column
bring,apricot,comb
brink,aptitude,combination
brisk,aquaculture,combustion
broad,aquarium,commendation
broil,aquatic,commission
broke,aquifer,commissioner
brood,arbitrarily,commotion
broom,arbitrary,communication
brow,arctic,compassion
brown,ardent,compassionate
brush,ardently,compensation
bu,areolar,competition
buck,argument,compilation
bud,argumentative,completion
buff,arisen,composition
bug,aristocratic,compositional
build,arithmetic,comprehension
built,armful,compression
bulb,armpit,compulsion
bulge,around,computation
bulk,arouse,computational
bulky,arrange,concentration
bull,arrangement,conception
bully,arrest,conch
bum,arrival,conclusion
bump,arrive,condemn
bumpy,arrogant,condensation
bunk,arsenal,condition
bunty,arsenic,conditional
burke,artefact,conditioned
burn,artery,conditioner
burnt,article,conduction
burst,articulate,confectioner
bury,articulated,confession
bus,artificial,configuration
bush,artificiality,confrontation
bushy,artificially,confusion
bust,artillery,congestion
busy,artisan,conjunction
but,artist,connection
butt,artiste,connotation
buy,artistic,conscience
buyer,artistically,conscious
buzz,artistry,consciously
by,ascariasis,consciousness
c,ascorbic,conservation
ca,asexual,conservationist
cab,asexually,consideration
cabin,ashamed,consolation
cable,asleep,consolidation
cacti,aspect,conspicuous
cad,aspire,constellation
cadet,aspiring,constipation
cag,assault,constitution
cage,assemble,constitutional
cake,assembly,constitutionally
calf,assent,constriction
call,assert,construction
calm,assess,consultation
cam,assessed,consumption
came,assessment,contamination
camel,assets,contemplation
camp,assign,contemptuous
can,assimilate,contentious
canal,assist,contiguous
candy,assistance,continuation
cane,assistant,continuous
canoe,assistive,continuously
canon,associate,contraception
cant,associated,contraction
cap,associative,contradiction
cape,assorted,contraindication
capes,assume,contribution
car,assumed,convection
carat,assuming,convention
card,assurance,conventional
care,assure,conventionally
cargo,assured,conversation
carl,assuring,conversion
carom,asteroid,conviction
carp,asthma,copyright
carr,astonishing,coronation
carry,astonishment,corporation
cart,astray,corpse
carve,astringent,correction
case,astrologer,correlation
cash,astrological,corrosion
cast,astrology,corruption
caste,astronaut,cough
cat,astronomer,coulomb
